timestamp,accel_z,latitude,longitude,wave_height
2025-04-24 17:20:08.531426,10.07,37.8631,-122.3132,
2025-04-24 17:20:09.583814,10.07,37.8631,-122.3132,
2025-04-24 17:20:13.264857,10.07,37.8631,-122.3132,
2025-04-24 17:20:14.242588,10.07,37.8631,-122.3132,
2025-04-24 17:20:15.215387,10.07,37.8631,-122.3132,
2025-04-24 17:20:22.315967,10.06,37.8631,-122.3132,
2025-04-24 17:20:23.451544,10.05,37.8631,-122.3132,
2025-04-24 17:20:24.535243,10.03,37.8631,-122.3132,
2025-04-24 17:20:27.320069,10.08,37.8631,-122.3132,
2025-04-24 17:20:30.168977,10.06,37.8631,-122.3132,
2025-04-24 17:20:32.376033,10.05,37.8631,-122.3132,
2025-04-24 17:20:37.363051,10.09,37.8631,-122.3132,
2025-04-24 17:20:37.632393,10.01,37.8631,-122.3132,6.384599999999991
2025-04-24 17:20:38.450683,10.02,37.8631,-122.3132,6.382799999999992
2025-04-24 17:20:39.429235,10.08,37.8631,-122.3132,6.380899999999992
2025-04-24 17:20:43.371349,10.07,37.8631,-122.3132,6.379999999999992
2025-04-24 17:20:44.302060,10.06,37.8631,-122.3132,6.379199999999992
2025-04-24 17:20:45.291542,10.05,37.8631,-122.3132,6.378399999999991
2025-04-24 17:16:51.914312,10.07,37.8631,-122.3132,6.3778999999999915
2025-04-24 17:16:54.506111,10.04,37.8631,-122.3132,6.376899999999991
2025-04-24 17:16:56.991318,10.05,37.8631,-122.3132,6.375699999999991
2025-04-24 17:17:00.342915,10.06,37.8631,-122.3132,6.374199999999992
2025-04-24 17:17:02.012028,10.07,37.8631,-122.3132,6.372499999999992
2025-04-24 17:17:06.953501,10.07,37.8631,-122.3132,6.370999999999992
2025-04-24 17:17:07.188286,9.99,37.8631,-122.3132,6.368199999999991
2025-04-24 17:17:08.219678,10.05,37.8631,-122.3132,6.365099999999991
2025-04-24 17:17:09.150503,10.07,37.8631,-122.3132,6.361799999999992
2025-04-24 17:17:12.823268,10.07,37.8631,-122.3132,6.357999999999992
2025-04-24 17:17:13.860063,10.07,37.8631,-122.3132,6.353899999999991
2025-04-24 17:17:14.806187,10.08,37.8631,-122.3132,6.349599999999992
2025-04-24 17:17:16.943969,10.07,37.8631,-122.3132,6.345599999999991
2025-04-24 17:17:22.040944,10.05,37.8631,-122.3132,6.341899999999992
2025-04-24 17:17:22.191002,10.03,37.8631,-122.3132,6.338899999999992
2025-04-24 17:17:24.125011,10.06,37.8631,-122.3132,6.335999999999991
2025-04-24 17:17:27.966336,10.08,37.8631,-122.3132,6.333799999999991
2025-04-24 17:17:29.960040,10.06,37.8631,-122.3132,6.331499999999992
2025-04-24 17:17:31.963601,10.07,37.8631,-122.3132,6.329399999999992
2025-04-24 17:17:36.988220,10.03,37.8631,-122.3132,6.327399999999992
